granularity,period_key,calls,prompt_tokens,candidates_tokens,thoughts_tokens,total_tokens,estimated_cost_usd,estimated_cost_jpy
year,2026,22,24464,2220,33436,60120,0.0125316,1.8797
month,2026-03,22,24464,2220,33436,60120,0.0125316,1.8797
week_iso,2026-W13,22,24464,2220,33436,60120,0.0125316,1.8797
day,2026-03-28,1,706,66,730,1502,0.00029175,0.0438
day,2026-03-29,21,23758,2154,32706,58618,0.01223985,1.836
hour,2026-03-28T22,1,706,66,730,1502,0.00029175,0.0438
hour,2026-03-29T10,3,4048,285,5501,9834,0.0020394,0.3059
hour,2026-03-29T11,1,705,66,933,1704,0.00035258,0.0529
hour,2026-03-29T12,14,15948,1303,22714,39965,0.0084012,1.2602
hour,2026-03-29T17,3,3057,500,3558,7115,0.00144668,0.217
